date,geo,hashtags,id,text,type,username
2019-07-06 08:03:30+00:00,,,1147415760924377088,"that’s so scary, I can’t imagine being at a concert and an earthquake striking",official,JasonCamorlinga
2019-07-06 08:01:39+00:00,,,1147415295369154560,Earthquakes but we still pretty pic.twitter.com/y60QGyjWVz,official,MarilynJaney
2019-07-06 08:01:10+00:00,,,1147415177517649920,Okay we get it fuck Kawhi and fuck the bitch who licked the ice cream and fuck the earthquakes. We need new material on here people get over it,official,lorenalopez02
2019-07-06 08:01:01+00:00,,,1147415139936694272,"These earthquakes are our fault. Most of us started out saying ""stan"" ironically, but over time it became normalized, and then this year it was added TO THE ACTUAL DICTIONARY, and the Earth was like ""fuck it; I'm out."" We did this.",official,LaurenFlans
2019-07-06 08:00:34+00:00,,,1147415026497495040,yes thank you so much! i love it hwre despite all the earthquakes,official,troyeshalcyon
2019-07-06 07:59:09+00:00,,,1147414667922296833,one more earthquake and I’m moving to Mexico,official,juapoch
2019-07-06 07:57:14+00:00,,,1147414185791246336,"I’m not scared of earthquakes so if this is a movie, that’s how I’ll die.",official,PussycowLA
2019-07-06 07:54:38+00:00,,#dtla #losangeles #la #hollywood #california #downtownla #streetphotography #art #photography #music #beverlyhills #love #fashion #santamonica #instagood #socal,1147413532478042112,"3 earthquakes couldn’t stop us, we took it & smiled #dtla #losangeles #la #hollywood #california #downtownla #streetphotography #art #photography #music #beverlyhills #love #fashion #santamonica #instagood #socal… https://www.instagram.com/p/BzkVH5_l3sD/?igshid=ogu6zcj86i3a …",official,RikiYamada
2019-07-06 07:53:01+00:00,,,1147413125974487040,Soooo what are the chances of being evacuated from a movie theater TWICE IN THE SAME NIGHT!?? First for earthquake; went back for next showing - FIRE ALARM! I give up pic.twitter.com/24Q5CpD0Ir,official,StephanieCozart
2019-07-06 07:52:57+00:00,,#earthquake #EarthquakeLA #californiaearthquake,1147413109365063680,Okay people of LA the 7.1 magnitude was in Ridgecrest which is 150 miles away we did not get that strong of an impact in LA. If we did you’d know. So relax and be thankful it was not that Magnitude here . #earthquake #EarthquakeLA #californiaearthquake,official,blinkbabeee
2019-07-06 07:52:31+00:00,,#earthquake #emergency #kit,1147412999621238784,"Be prepared, be safe! #earthquake #emergency #kit 場所: Los Angeles, California https://www.instagram.com/p/BzkU4brgjOb/?igshid=1hfplls5redty …",official,GussieMiller
2019-07-06 07:51:19+00:00,,,1147412697215975425,Even Wayfair furniture is safe in an earthquake are we sure,official,BonniePuns
2019-07-06 07:51:19+00:00,,,1147412696410677248,At the Aqours concert they danced THROUGH a 7.1 earthquake and then cam back out to finish their concert and ask US if WE were okay. Could SHAWN MENDEZ do that? I'm not sure I didn't check but there's only one of him and nine of them so they still win.,official,ShelbyMcweeb
2019-07-06 07:51:10+00:00,,#earthquake,1147412657739202560,Why on #earthquake would you do that?,official,TomFarnan
2019-07-06 07:50:40+00:00,,,1147412533596184577,Man I was playing in the arcade when the second earthquake hit,official,ibe_creativee
2019-07-06 07:50:10+00:00,,,1147412407087583232,I haven’t even felt the earthquakes at all,official,moonphoria_
2019-07-06 07:49:05+00:00,,,1147412135229607938,"Another great performance. Shawn never disappoints Going through that earthquake, losing my voice and getting a fever after the concert was lit lol! Till next time Shawn @ShawnMendespic.twitter.com/iQt1Vmha4H – at STAPLES Center",official,Venecia0208
2019-07-06 07:48:42+00:00,,,1147412038286630912,"is week has been the first time I've ever felt an earthquake, It's been very exciting.",official,DavidNorthart
2019-07-06 07:48:17+00:00,,,1147411935136104448,the earthquakes in socal are really popping off – at City of Los Angeles,official,meharksingh
2019-07-06 07:48:10+00:00,,,1147411903909548033,When you and boo are both taking a when the earthquake hits.,official,Saamazinggg
2019-07-06 07:48:02+00:00,,,1147411871743393792,It was a pleasure to be on set with the beautiful trio @ANGELAWHITE @ItsAlinaLopez @DemiSutra ! You girls killed it and pulled through that 7.1 earthquake on the 7th Floor of a building in the middle of DTLA. Shout out to the crew for all your AMAZING help like always.,official,MsVisualX
2019-07-06 07:48:01+00:00,,,1147411864772419584,"Thanks 4 watching, my friend. See what I did there! Now, back to work on that earthquake kit.",official,BeverlyNBCLA
2019-07-06 07:47:34+00:00,,,1147411752709050368,Me too...... these are first real earthquakes man,official,Megatronthadon
